X,Y,OBJECTID,park_id,comment,longitude,latitude,feature_ty,map_label,full_path,edit_type,gps_date,last_edited_date,created_user,created_date,last_edited_user,park_name,Feature_Desc,type_id,feature_id,GlobalID,category,facility_name,address,city,zip_code,business_unit,responsibility
1416845.30379206,547760.712144971,2111,175,DORSEY RD sign,-76.63137065,39.17014452,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/B%20and%20A%20Trail/TG0909135.JPG, ,2013/09/09 00:00:00+00,2015/05/20 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,B and A Trail,,,186341,{6340BF99-1E5B-4AEB-82AC-30C74722C68B},PARK,,,,,,
1440098.56863713,429909.78413339,2112,068,PORTABLE TOILET,-76.55139636,38.8462796,6, , , ,2013/08/14 00:00:00+00,2018/05/24 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Galesville Park,Restroom Portable,,1890,{C4579D64-E492-45E3-B97D-63F3298CC569},PARK,,4811 Anchors Way,Galesville,20765,,
1405817.97348456,510000.205645144,2113,010,Wooden Shed In Enclousure,-76.67074591,39.06658477,11, , , ,2013/12/13 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Dairy Farm,"Shelter, Animal",,2422,{31C2B25D-E9AF-438B-941B-F076D7E0F656},PARK,"Dairy Farm - Shelter, Animal",100 Dairy Ln,Gambrills,21054,8421,Rec and Parks
1406699.35098688,557609.405374065,2114,015,Dugout,-76.66703009,39.19729174,11, , , ,2013/03/22 00:00:00+00,2021/06/23 18:40:32+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Andover Park,Dugouts (12),,216622,{F6259316-E0E2-4C41-BA43-5D5942770DEB},PARK,Andover Park - Dugout,805 Main Ave,Linthicum Heights,21090,8331,Rec and Parks
1395155.80812913,531486.686622232,2115,099,BENCH,-76.70805613,39.1256782,31, , , ,2013/05/08 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Meade Village Park,,,186342,{BBC9E525-73DB-4932-AD67-197B2A27A651},PARK,,1760 Meade Village Cir,Severn,21144,8393,
1405753.06154089,509092.303917646,2116,010,"Storage Building, 138,On Map Not On List",-76.67098605,39.06409264,11, , , ,2013/12/19 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Dairy Farm,,,2425,{CB1B19A3-3A40-48FD-B0E1-007EF4F656F1},PARK,Dairy Farm - Storage Building - 138,100 Dairy Ln,Gambrills,21054,8421,Rec and Parks
1454852.56439155,463559.71059981,2117,006,BENCH,-76.49894506,38.93846217,31, , , ,2013/03/01 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Quiet Waters Park,,,186343,{E12A26B6-5197-4395-B776-855D18697B22},PARK,,600 Quiet Waters Park Rd,Eastport,21403,8241,
1445984.29702313,506521.518376812,2118,175,JONES STATION RD,-76.52934407,39.05655039,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/B%20and%20A%20Trail/TG08151314.JPG, ,2013/08/15 00:00:00+00,2021/04/08 16:49:58+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,B and A Trail,,,186344,{4AB6EF95-D07E-4CDC-8FEB-35B22CA0F573},PARK,,,,,,
1400842.24918406,512781.538993225,2119,105,BENCH,-76.68823698,39.07426928,31, , , ,2013/05/08 00:00:00+00,2014/12/01 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Odenton Natural Area,,,186345,{240B0E06-2A06-4779-8322-2D34A3A467E2},PARK,,517 Higgins Dr,Odenton,21113,,
1456765.87126046,499297.760514647,2120,018,Dugout,-76.49151872,39.03655784,11, , , ,2013/04/16 00:00:00+00,2021/06/23 18:40:33+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Arnold Park,Dugouts - 10 each (4 uncovered),,216623,{86B73C8D-4DD1-4E70-B74F-11DF077FB3E3},PARK,Arnold Park - Dugout,1325 Jones Station Rd,Arnold,21012,8338,Rec and Parks
1452907.45476472,495852.786433473,2121,175,SEVERN WAY,-76.50516797,39.0271574,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/B%20and%20A%20Trail/TG08121321.JPG, ,2013/08/12 00:00:00+00,2021/04/08 17:34:25+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,B and A Trail,,,186346,{491914F4-26D4-4BED-A3A8-C95E766E9004},PARK,,,,,,
1415565.4175723,565711.050259978,2122,136,PICNIC AREA /4 GRILLS 2 TABLES,-76.63563227,39.21944218,8, , , ,2013/08/01 00:00:00+00,2018/05/24 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Pumphrey Park,,,976,{307E8C6A-BE1F-451C-9ABA-6BC2F28B5241},PARK,,5757 Belle Grove Rd,Brooklyn,21225,8370,
1444654.92271338,524323.684215978,2123,028,FISHING AREA AT SMALL BEACH,-76.53370522,39.10544701,46, , , ,2013/08/15 00:00:00+00,2021/03/26 17:40:40+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITGRAU20,Beachwood Park,,229,11874,{35FFCA03-5A7F-4CCF-A947-8FEC728A4968},PARK,,8320 Beachwood Park Rd,Pasadena,21122,,
